index,start_totaldays,end_totaldays,duration_days,strength,strength_double,start_year,start_month,start_day,start_hour,start_minute
0,17.985502001565663,18.087502001595468,0.10200000002980233,Light,0.020000000298023225,1,1,18,23,39
1,28.559285103202587,28.671343438050002,0.11205833484741351,Light,0.120583348474135,1,1,29,13,25
2,40.447497980846705,40.56661221009023,0.11911422924352422,Light,0.19114229243524208,1,2,11,10,44
3,52.24989648930466,52.37694089784771,0.12704440854305324,Light,0.2704440854305324,1,2,23,5,59
4,68.98075784629475,69.11567580741364,0.13491796111888332,Light,0.349179611188833,1,3,9,23,32
5,85.36619001675996,85.51226713465151,0.14607711789154498,Light,0.4607711789154498,1,3,26,8,47
6,94.23493197663743,94.39194015557668,0.15700817893925573,Medium,0.5700817893925572,1,4,5,5,38
7,104.99188595463953,105.15481391568095,0.16292796104141746,Light,0.6292796104141746,1,4,15,23,48
8,119.79228641927187,119.96238962959362,0.17010321032173986,Light,0.7010321032173985,1,4,30,19,0
9,134.37538683043627,134.55536175804772,0.17997492761144834,Medium,0.7997492761144834,1,5,15,9,0
10,142.60331022745967,142.79301380330173,0.18970357584205258,Heavy,0.8970357584205257,1,5,23,14,28
11,156.3073495763938,156.50254492034784,0.19519534395405563,Medium,0.9519534395405563,1,6,7,7,22
12,168.47421578636042,168.6742157863604,0.2,Heavy,1,1,6,19,11,22
13,176.72984718551507,176.92984718551506,0.2,Medium,1,1,6,27,17,30
14,185.55357975234855,185.75357975234854,0.2,Medium,1,1,7,6,13,17
15,199.8410808013903,200.04108080139028,0.2,Medium,1,1,7,20,20,11
16,210.04767736663686,210.24767736663685,0.2,Medium,1,1,8,1,1,8
17,220.75044969787464,220.95044969787463,0.2,Medium,1,1,8,11,18,0
18,232.77345465888843,232.97345465888841,0.2,Medium,1,1,8,23,18,33
19,242.76022810211046,242.96022810211045,0.2,Heavy,1,1,9,3,18,14
20,250.94265236129624,251.14265236129623,0.2,Heavy,1,1,9,11,22,37
21,263.9871390747056,264.1871390747056,0.2,Medium,1,1,9,24,23,41
